Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms)
13-10-2024,109,2234.355367,5008.021662,15,15,19.13103104,72.90475464,19.13596535,72.91532135,0.681863804,1.838841637,0.059321557,7598,94.59999847,94.59999847,94.59999847,,4983864,
14-10-2024,212,2639.329941,11977.81942,80,71,,,,,0.533640146,2.420672932,0.25152828,17042,93.5,93.5,93.5,242930,9798729,
15-10-2024,85,2143.298248,4284.300135,22,22,,,,,0.46103151,1.72257779,0.248791786,6216,93.5,93.5,93.5,,4017226,
16-10-2024,66,2077.473666,3845.084949,22,22,,,,,0.500602301,1.836776565,0.255321211,5491,93.5,93.5,93.5,,3155566,
17-10-2024,125,2299.92509,6793.234093,38,38,,,,,0.523210551,1.853842329,0.249300999,9562,92.90000153,92.90000153,92.90000153,,5842626,92757
18-10-2024,67,1981.543921,2970.601042,5,5,,,,,0.475608653,2.006580866,0.24825314,4440,92.90000153,92.90000153,92.90000153,,2021717,
19-10-2024,108,2176.654596,5646.263958,26,23,,,,,0.465153021,2.286030663,0.259625524,8455,93.80000305,93.80000305,93.80000305,,4538250,
20-10-2024,42,1966.114419,1837.647733,2,2,,,,,0.667950614,1.788283909,0.282201656,3132,93.80000305,93.80000305,93.80000305,,1685868,
21-10-2024,52,2007.603461,2278.137687,4,4,,,,,0.554746546,1.786597825,0.259625524,3614,93.80000305,93.80000305,93.80000305,,2219334,
22-10-2024,113,2185.389732,5576.293363,25,24,,,,,0.562814071,1.972127613,0.257935439,8046,93.80000305,93.80000305,93.80000305,,4505306,
23-10-2024,180,2483.02397,9379.057541,40,39,,,,,0.45842182,2.023664934,0.248721238,13618,93,93,93,,8345193,
24-10-2024,87,2030.408226,4104.330008,13,13,,,,,0.500047973,1.899296893,0.25780943,6061,93,93,93,,2636683,
25-10-2024,49,1974.524221,2511.424468,6,6,,,,,0.75513501,1.820176847,0.27091359,3720,93,93,93,,1779955,60123
26-10-2024,35,1930.633956,1334.236774,2,2,,,,,0.762246736,1.628977799,0.27091359,2174,93,93,93,,1343645,
27-10-2024,63,2046.123561,2971.028649,18,18,,,,,0.594630586,1.652333447,0.257571298,4556,93,93,93,423550,2392955,
28-10-2024,58,2038.393507,3491.297804,22,22,,,,,0.475089015,1.698269121,0.259625524,4994,93,93,93,,2744486,
29-10-2024,77,2024.504167,3629.165922,7,7,,,,,0.534969617,2.028000953,0.250765528,5655,93,93,93,,2560169,
30-10-2024,125,2236.21507,5712.507929,38,38,19.11660385,72.90992737,19.12508583,72.91677094,0.56459246,1.820643359,0.2406301,8748,93,93,93,840549,4077331,151110
31-10-2024,76,2085.720536,4148.086725,21,21,,,,,0.515567447,1.578714201,0.249194144,6158,93,93,93,,3359102,
01-11-2024,47,1932.316121,2004.422026,3,3,,,,,0.540703388,1.588256021,0.249317547,3198,93,93,93,,1366713,
02-11-2024,49,1978.546552,2583.609161,10,10,,,,,0.523403572,1.722839887,0.249309799,3939,93,93,93,,1961587,
03-11-2024,53,2058.398162,3359.153538,8,8,19.13286209,72.90699768,19.13602829,72.91521454,0.480350748,3.173061451,0.27091359,4124,93,93,93,,3004359,
04-11-2024,69,2067.423189,3237.141167,11,11,19.13607025,72.90696716,19.13607025,72.90696716,0.532771452,1.796040024,0.257983435,5146,93,93,93,,3121533,
05-11-2024,30,1898.085045,1431.219832,2,2,,,,,0.716969067,1.773351657,0.267128184,2410,93,93,93,,922933,
06-11-2024,86,2106.849327,4682.07585,20,20,,,,,0.533442764,1.733649813,0.259625524,6852,93,93,93,,3633425,
07-11-2024,98,2008.770068,5082.179375,19,19,,,,,0.651755718,1.870290664,0.282201656,7493,93,93,93,,2360011,
08-11-2024,81,2058.21059,3580.833601,5,5,,,,,0.499968585,1.896457662,0.27091359,5463,93,93,93,,3001925,
09-11-2024,66,2064.316495,3352.95292,15,15,,,,,0.724622991,1.720654718,0.278166881,4947,93,93,93,,3081197,
10-11-2024,138,2305.48834,7323.816092,43,39,,,,,0.507990086,2.132931194,0.253895119,10467,93,93,93,486121,5659718,
11-11-2024,53,2064.00549,2429.144611,7,6,,,,,0.461704948,1.868598068,0.259625524,3599,93,93,93,,3077162,
12-11-2024,73,2038.419954,3464.014315,10,10,,,,,0.499660089,1.715109424,0.259625524,5495,93,93,93,,2744975,
13-11-2024,67,2069.597403,3005.422604,21,20,,,,,0.436157256,1.786778467,0.249504182,4505,93,93,93,527142,2581346,
14-11-2024,107,2230.090756,6057.011321,37,33,,,,,0.68777017,2.230643274,0.261264963,8475,93,93,93,,5233110,
15-11-2024,67,2011.744899,2848.576492,6,6,,,,,0.39234537,2.229920377,0.247498316,4301,93,93,93,,2398552,
16-11-2024,87,2100.364229,3924.49683,7,7,,,,,0.555268776,1.730980704,0.257658413,5803,93,93,93,,3349487,89129
17-11-2024,72,2111.560611,4233.817407,25,22,,,,,0.448948112,2.230869482,0.254991928,6005,93,93,93,,3694593,
18-11-2024,24,1914.672058,1055.416149,2,2,,,,,0.434932086,1.70884524,0.259625524,1737,93,93,93,,1138289,
19-11-2024,49,1983.31788,2212.220437,6,6,,,,,0.524683438,1.559690286,0.259026678,3268,93,93,93,,2029554,
20-11-2024,54,1992.775023,2867.044066,7,7,,,,,0.594110418,1.715011646,0.259625524,4292,93,93,93,,2152142,
21-11-2024,62,2031.469336,2931.569207,6,6,,,,,0.462405384,1.594977466,0.259625524,4724,93,93,93,,2654059,
22-11-2024,76,2089.637506,3828.486744,10,10,,,,,0.62478918,1.838326123,0.248828027,5834,93,93,93,,3407041,
23-11-2024,52,2037.279471,1988.83414,16,16,,,,,0.741064442,1.755751466,0.281364706,2996,93,93,93,799929,1876574,
24-11-2024,53,2056.181137,2854.096134,9,8,,,,,0.609458702,2.144847536,0.242866035,4260,93,93,93,,2955067,
25-11-2024,27,1910.048658,940.1915249,1,1,,,,,0.5452399,1.507417155,0.269561812,1713,93,93,93,,1078263,
26-11-2024,39,1985.799936,2071.699829,7,7,19.12603569,72.91620636,19.12603569,72.91620636,0.376674318,1.706512102,0.256026774,3193,93,93,93,,2061778,
27-11-2024,116,2266.642733,6517.640783,40,38,19.13488007,72.90995789,19.13655281,72.91246796,0.516072293,1.863580874,0.249156364,9501,93,93,93,,5696070,
28-11-2024,118,2290.515802,6042.880403,32,32,19.09536743,72.87374878,19.13668442,72.91812134,0.692643173,3.051496744,0.057754871,9665,93,93,93,,6018060,
29-11-2024,90,1899.604705,4087.740713,8,8,,,,,0.515147489,1.639271739,0.259625524,6276,93,93,93,,942666,
30-11-2024,11,1826.99997,381.3454922,,,,,,,0.428490256,0.774539437,0.338641958,658,93,93,93,,,
01-12-2024,32,1910.326962,1162.18797,,,,,,,0.455601142,1.663381243,0.259625524,2049,93,93,93,,1081876,
02-12-2024,8,1845.614981,330.4429893,,,,,,,0.441074286,1.163264312,0.259625524,658,93,93,93,,241688,
03-12-2024,28,1950.81168,707.7438476,11,11,,,,,0.393272744,1.494997272,0.256693763,1263,93,93,93,663870,899107,
04-12-2024,24,1926.361693,1391.290841,3,3,,,,,0.412471646,1.533782266,0.27091359,2196,93,93,93,,1290062,
05-12-2024,21,1874.082867,844.7450929,,,,,,,0.407425255,1.37796694,0.259625524,1422,93,93,93,,611302,
06-12-2024,13,1873.91621,630.0616965,,,,,,,0.491799152,1.15056014,0.282201656,1110,93,93,93,,609137,
07-12-2024,12,1834.119314,452.4057244,,,,,,,0.387225349,0.987746659,0.27091359,844,93,93,93,,92434,
08-12-2024,15,1829.318682,542.3740906,,,,,,,0.443963318,1.309255383,0.279997064,967,93,93,93,,30105,
09-12-2024,85,2047.816938,3777.283999,4,4,,,,,0.448144279,1.558054611,0.259625524,6242,93,93,93,,2866977,
10-12-2024,23,1848.86917,907.3035876,,,,,,,0.510115826,1.350125666,0.256316118,1464,93,93,93,,283938,
11-12-2024,64,2041.481303,2873.101573,5,5,,,,,0.46545824,1.492068121,0.259625524,4350,93,93,93,,2784718,
12-12-2024,19,1840.121082,839.6889429,,,,,,,0.462071808,1.74790446,0.254723366,1504,93,93,93,,170240,
13-12-2024,32,1925.59511,1814.663592,7,7,,,,,0.378269992,1.655328046,0.304777789,2798,93,93,93,,1280110,
14-12-2024,37,1904.281566,1342.143581,,,,,,,0.399304718,1.174339561,0.27091359,2246,93,93,93,,1003386,
15-12-2024,35,1866.135731,1358.813004,,,,,,,0.483994386,1.495271684,0.258665663,2270,93,93,93,,508119,
16-12-2024,11,1859.008673,505.236757,,,,,,,0.630249507,1.179143925,0.3116207,934,93,93,93,,415585,
17-12-2024,35,1897.13519,1477.494705,3,2,,,,,0.546350811,1.853994741,0.282201656,2312,93,93,93,,910601,
18-12-2024,33,1770.16367,1414.877434,,,,,,,0.449650318,1.764586742,0.259625524,2406,93,93,93,,,
